anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid
TRUE,21896705,l*****p,2678,2351323291,"cepet banget prosesnya sellernya ramah dan cepet bales chatnya, happy bgt
selamat menjalankan PSBB guys
netflix and chill..................",284,680,1588853953,1,4822872755,1588853953,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,21898041
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,54847619,armikayla,2678,2345838496,seperti biasssaaaa selalu puasss dann lancarrrt jayaaa gerceeepp bangett dan udahhh beli ketiga kalinyaaa thank u sellerrr keep excelent,284,680,1588770158,1,4822872755,1588770158,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,54849043
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,49983101,m*****k,2902,2436296744,"Nanya2 gampang, kualitasnya g diragukan lagi. Agan ini benar2 recommended lah...sangat memuaskan.",922,2182,1590184497,1,2767211185,1590184497,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,49984489
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,58041757,lukman1453,2902,2439584579,"Kualitas produk sangat baik, produk original, harga produk sangat baik, proses pengiriman cepat",922,2182,1590239530,1,2767211185,1590239530,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,58043182
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,60969626,r*****h,2902,2457934249,Kualitas produk baik. Produk original. Harga produk baik. Respon penjual baik. Very good.,922,2182,1590677082,1,2767211185,1590677082,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,60971068
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,7470184,natasyanda,2773,2448191934,"Seller ramah dan fast respon, pengiriman sangat cepat, produk original dan kualitas sangaat baik, murah tapi tidak murahan, selalu ada reminder untuk perpanjang dari sellernya, senang deh belanja disini. Terimakasih yaa. :)",1056,3341,1590487307,1,1775386739,1590487307,,Netflix Premium 1 Bulan Anti B,1,10259,10,0,0,20,12883,5,77717151,7471477
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,73206413,syibria,2773,2378086343,"Ini pembelian ke 3 kalinya, agak sedih si karna lupa perpanjang dan telat satu hari jadi harus ganti akun, dan harus di proses hari itu juga, tapi gapapa soalnya responnya cepet dan g ada kendala apapun ",1056,3341,1589283476,1,1775386739,1589283476,,Netflix Premium 1 Bulan Anti B,1,10259,10,0,0,20,12883,5,77717151,73207875
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,76938347,bahni,3404,2416340897,"paling murah paling responsif paling bertanggung jawab, mantap!",842,1156,1589868536,1,4424230615,1589868536,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,76939819
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,16250617,margaretafedoraprima,3404,2456712131,"Prosesnya cepet, penjual memberikan penjelasan mudah dipahami",842,1156,1590661226,1,4424230615,1590661226,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,16251953
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,76938347,bahni,3404,2363647437,mantap langganan terus di sini selalu cepat dan full garansi,842,1156,1589034224,1,4424230615,1589034224,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,76939819
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,54674133,ariefdiansw,3404,2425722779,"Pengerjaan cepat,, respon juga cepat...semoga smuanya lancar",842,1156,1590010545,1,4424230615,1590010545,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,54675557
,,,,,,,,,,,,,,,,,,,,,,,
